step,distFromStart,distRaced,curLapTime,rpm,wheelSpinVel_0,wheelSpinVel_1,wheelSpinVel_2,wheelSpinVel_3,sector,sector_cap,max_speed_param,steer_gain,center_gain,brake_gain,speedX,speedY,speedZ,angle,trackPos,front,front_delta,target_speed,steer,accel,brake,gear,risk,aggression,target_trackPos,mode,front_risk,closing_risk,edge_risk,angle_risk,slide_risk,track_0,track_1,track_2,track_3,track_4,track_5,track_6,track_7,track_8,track_9,track_10,track_11,track_12,track_13,track_14,track_15,track_16,track_17,track_18
1,3598.45,0.0,-0.982,5235.99,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
2,3598.45,0.0,-0.962,5386.69,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
3,3598.45,0.0,-0.942,5542.21,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
4,3598.45,0.0,-0.922,5702.71,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
5,3598.45,0.0,-0.902,5868.34,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
6,3598.45,0.0,-0.882,6039.26,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
7,3598.45,0.0,-0.862,6215.65,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
8,3598.45,0.0,-0.842,6397.68,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
9,3598.45,0.0,-0.822,6585.53,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
10,3598.45,0.0,-0.802,6779.4,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
11,3598.45,0.0,-0.782,6979.46,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
12,3598.45,0.0,-0.762,7185.91,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
13,3598.45,0.0,-0.742,7398.97,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
14,3598.45,0.0,-0.722,7618.85,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
15,3598.45,0.0,-0.702,7845.75,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
16,3598.45,0.0,-0.682,8079.91,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
17,3598.45,0.0,-0.662,8321.56,0.0,0.0,0.0,0.0,359,218.0,218.0,1.2664886666666666,0.5699482133333333,0.8072459466666666,-0.00913045,-0.00302988,0.00318209,0.00822276,0.333439,62.0267,0.0,134.0,-0.006002513999999997,1.0,0.0,1,0.17297733333333334,0.9,0.0,post_final_boost,0.17297733333333334,0.0,0.0,0.0,0.0,5.70304,12.6267,22.455,140.486,90.9268,77.357,71.6721,67.3518,64.5773,62.0267,59.6744,57.4982,54.7119,51.8501,47.2417,40.0655,31.0431,22.7658,11.2227
